id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
110111,9434,2012,3,0,200,1,1,88,328,0,82,69,370,0,39,35,34,86,94,1427,1,43,0,4,1,3,64,12,0,3,0,6,0,0,2,3,0,21,14,0,6,1,43,0,0,5,2,2,33.0,5.0,1.5866,227.3,0,265,9,3,0.4097,0.8944
111047,9479,2012,93,0,200,1,1,5,20,0,5,6,22,0,2,2,2,8,1,81,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2.0,2.0,-0.0086,7.2,0,15,0,0,-0.1615,0.0707
114715,9605,2012,13,0,200,1,1,20,77,0,18,8,80,10,2,6,6,28,24,289,0,3,3,2,1,0,11,5,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0.0,0.0,0.2899,72.9,0,60,0,0,0.6325,0.7583
115571,9628,2012,1,0,200,1,1,1,3,0,0,2,4,0,1,0,0,1,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0003,0.8,0,3,0,0,0.0273,0.0572
115597,9630,2012,16,0,200,1,1,81,302,0,73,61,330,0,21,27,25,89,82,1132,1,59,0,5,2,12,48,19,4,2,1,5,0,0,9,1,1,21,9,0,14,2,59,0,0,1,0,12,19.0,3.0,2.502,451.9998,0,244,28,8,1.7896,2.3757
116044,9649,2012,2,0,200,1,1,6,30,0,11,3,31,0,0,9,7,6,9,116,1,4,0,0,0,0,7,1,0,0,0,3,0,1,0,1,0,1,0,0,0,0,4,0,0,0,0,0,2.0,0.0,0.3304,16.9,0,19,1,0,-0.2643,-0.4753
116759,9674,2012,9,0,200,1,1,9,37,0,12,3,40,2,3,6,6,7,15,146,0,2,2,1,1,0,9,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,-0.0484,41.3,0,27,0,0,-0.104,-0.0181
116834,9679,2012,12,0,200,1,1,33,159,0,64,17,180,0,16,35,32,42,36,573,1,32,0,1,3,2,49,7,1,3,2,6,1,0,7,3,1,9,3,0,6,4,32,0,0,2,1,6,36.0,22.0,-3.1086,183.6,0,100,7,9,-0.4013,-1.7127
117263,9700,2012,12,0,200,1,1,25,97,0,25,16,112,23,14,11,11,29,28,407,1,5,5,1,2,0,19,4,1,0,0,2,1,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0.0,0.0,0.2262,122.9,0,76,0,0,0.1877,0.525
117402,9705,2012,9,0,200,1,1,170,648,0,158,130,700,106,44,69,69,180,185,2479,2,28,27,16,5,0,99,33,2,6,9,17,1,0,0,3,0,0,9,19,0,0,1,1,1,3,2,0,0.0,0.0,1.5942,658.9,0,512,0,0,2.9938,4.1802
117718,9716,2012,15,0,200,1,1,202,781,0,202,158,843,99,49,86,78,217,210,3037,1,34,34,11,13,0,145,32,5,8,10,15,0,0,0,6,0,0,10,16,0,0,0,1,1,14,8,0,0.0,0.0,1.5795,773.2003,0,607,0,0,5.5257,5.957
118788,9763,2012,12,0,200,1,1,90,362,0,120,49,403,43,29,64,63,100,103,1417,1,18,18,2,7,0,81,24,7,5,1,14,0,0,1,6,0,0,10,7,0,0,0,0,0,2,6,0,0.0,0.0,-2.0641,394.9999,0,271,0,0,0.2329,-0.5711
119753,9885,2012,15,0,200,1,1,80,329,0,102,69,364,0,29,63,63,56,106,1354,0,75,0,8,7,2,64,20,2,4,3,15,0,0,5,2,0,21,4,0,4,2,75,0,0,9,2,6,47.0,19.0,-1.1072,359.0001,0,240,18,17,0.0569,-1.0474
