id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
8690,3190,2003,11,0,200,1,1,0,10,3,3,12,53,3,3,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0.0179,0,0.0,0.1498
8896,3232,2003,16,0,200,1,1,0,94,26,13,103,373,31,24,7,1,2,10,10,0,0,9,0,4,0,0,0,0,0.4717,0,-0.5301,0.7574
9150,3242,2003,4,0,200,1,1,0,180,41,49,199,770,55,51,4,2,8,24,25,3,3,12,0,3,1,4,2,0,-1.1092,0,-0.2567,-1.0166
9172,3252,2003,14,0,200,1,1,0,133,40,25,151,614,40,36,7,2,2,11,19,0,2,16,0,0,0,1,1,0,1.0968,0,-3.4654,0.337
9219,3268,2003,13,0,200,1,1,0,429,108,77,502,1968,137,119,23,2,26,59,84,2,3,66,2,7,0,3,3,1,4.0766,0,2.0451,3.126
9762,3387,2003,2,0,200,1,1,0,82,13,17,98,354,32,24,2,0,1,9,6,0,0,11,0,4,2,0,3,0,-0.3091,0,-2.6757,-0.4971
9911,3409,2003,10,0,200,1,1,0,172,46,24,189,620,63,42,8,0,1,15,20,0,0,11,1,2,3,3,0,0,-0.9204,0,-1.1395,0.0457
9919,3409,2003,14,0,200,1,1,0,84,16,10,90,273,55,23,1,0,0,5,5,0,2,3,0,2,0,2,1,0,-1.1663,1,-1.6968,-0.4365
10080,3441,2003,15,0,200,1,1,0,350,90,79,392,1434,133,87,16,4,10,47,35,11,4,33,2,6,6,2,1,0,-0.1335,0,0.4712,0.1467
10188,3454,2003,5,0,200,1,1,0,509,119,83,564,1942,144,144,16,2,6,48,52,5,2,37,0,20,14,3,1,0,-3.1656,0,0.0164,2.4279
10477,3486,2003,8,0,200,1,1,0,8,2,0,8,21,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0937,0,0.0,-0.0018
10653,3507,2003,12,0,200,1,1,0,12,3,2,14,67,13,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.0544,0,-0.7445,-0.1702
10936,3534,2003,14,0,200,1,1,0,207,53,27,222,690,86,45,9,1,3,21,18,0,0,12,2,10,0,2,1,0,-1.9286,0,1.6726,-0.0496
11002,3542,2003,2,0,200,1,1,0,564,177,69,709,3156,162,161,22,3,53,136,148,29,11,137,8,4,0,7,1,0,7.5786,0,-0.0296,9.4489
11343,3564,2003,9,0,200,1,1,0,595,176,70,652,2218,153,150,39,3,18,77,85,1,4,46,2,18,0,3,8,0,1.3721,0,-5.581,2.25
11503,3578,2003,9,0,200,1,1,0,570,147,99,654,2398,151,151,38,12,10,96,61,37,7,59,4,4,16,6,3,0,0.9152,0,6.3988,6.3617
11716,3581,2003,8,0,200,1,1,0,6,1,0,7,15,7,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0.0408,0,-0.4196,-0.083
11924,3602,2003,15,0,200,1,1,0,566,146,78,601,1915,160,158,39,5,7,62,64,4,5,31,0,21,0,3,1,0,-1.882,0,1.1455,0.0713
12072,3608,2003,10,0,200,1,1,0,304,70,58,349,1375,79,79,7,4,20,41,51,5,3,41,2,6,0,2,2,0,0.0153,0,1.8001,1.3346
12075,3608,2003,9,0,200,1,1,0,271,68,41,310,1169,75,72,10,3,14,45,45,9,5,32,3,2,0,4,3,0,0.6698,1,1.1554,1.7428
12305,3626,2003,7,0,200,1,1,0,61,19,7,65,222,27,13,4,1,0,6,5,2,0,3,0,2,0,0,1,0,0.1658,0,-1.9503,0.2708
12349,3630,2003,12,0,200,1,1,0,479,122,61,527,1744,137,137,15,1,5,49,47,0,0,37,1,25,9,1,1,0,-2.5542,0,0.7365,0.7977
12432,3634,2003,14,0,200,1,1,0,2,1,0,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002,0,0.0,0.0303
12765,3650,2003,8,0,200,1,1,0,657,186,72,701,2348,161,161,20,5,4,76,66,85,20,35,1,8,0,4,4,1,-0.2135,0,3.4573,2.4174
13008,3669,2003,16,0,200,1,1,0,102,27,7,116,425,33,30,8,0,2,13,7,0,0,10,0,4,0,1,3,0,-0.3181,0,-0.6401,1.0685
13098,3678,2003,7,0,200,1,1,0,158,33,23,171,558,58,40,7,0,5,17,14,1,0,12,0,6,0,0,1,0,-0.7083,0,-3.6261,-0.7488
13122,3684,2003,14,0,200,1,1,0,332,65,83,367,1458,119,100,14,2,1,31,19,10,3,33,0,8,1,0,1,0,-2.7117,0,3.0145,-0.6287
13179,3688,2003,12,0,200,1,1,0,274,63,68,299,1176,78,72,13,0,6,22,28,0,2,21,0,9,0,2,1,1,-1.2612,0,-1.2821,-0.797
13324,3692,2003,6,0,200,1,1,0,581,142,84,632,2215,158,155,31,1,13,55,68,1,1,44,2,20,1,4,2,0,0.5084,0,1.8876,1.3343
13438,3693,2003,6,0,200,1,1,0,603,146,118,692,2724,161,161,20,3,13,63,71,9,2,77,2,11,0,10,2,0,-0.9421,0,1.6545,1.3903
13564,3698,2003,5,0,200,1,1,0,199,64,16,225,728,69,47,7,2,1,30,17,13,2,17,0,5,5,3,1,0,1.1111,0,0.8815,1.0794
13592,3699,2003,12,0,200,1,1,0,413,91,57,449,1491,127,91,17,4,9,44,48,7,8,28,0,7,4,4,0,0,-2.3011,0,0.2292,-1.2812
13842,3702,2003,1,0,200,1,1,0,298,79,38,324,1137,86,82,4,4,6,42,34,12,5,17,0,4,6,2,1,0,0.0253,0,1.7221,1.024
13908,3712,2003,6,0,200,1,1,0,25,5,7,26,93,12,5,1,1,0,5,0,0,0,1,0,0,0,0,0,0,-0.277,0,0.4319,-0.2203
14046,3755,2003,15,0,200,1,1,0,469,120,85,571,2642,154,148,16,5,13,80,75,3,0,89,2,8,6,6,1,0,1.7216,0,6.087,2.7474
14291,3780,2003,15,0,200,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
14318,3785,2003,8,0,200,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
14357,3788,2003,12,0,200,1,1,0,631,153,109,691,2459,158,158,37,8,18,73,74,5,2,47,2,16,0,6,7,0,-0.6257,0,-1.0543,3.5987
14465,3798,2003,7,0,200,1,1,0,101,27,10,117,432,39,25,1,1,1,10,11,10,2,16,0,2,0,0,0,0,0.3796,0,-0.2679,0.9895
14739,3844,2003,13,0,200,1,1,0,116,27,20,124,468,39,32,6,1,2,10,8,0,0,8,0,3,0,0,0,0,-0.9408,0,-0.313,0.2267
14795,3850,2003,7,0,200,1,1,0,309,72,54,366,1390,92,90,11,0,9,40,33,0,0,51,3,9,0,3,3,0,-0.7602,0,-0.6347,1.6452
15175,3885,2003,7,0,200,1,1,0,277,71,53,296,924,83,72,13,5,0,26,17,17,3,7,0,10,7,1,4,0,-0.9838,0,0.8803,-0.2583
15269,3887,2003,6,0,200,1,1,0,2,1,1,3,13,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.4093,0,0.0,0.1271
15319,3893,2003,12,0,200,1,1,0,409,100,63,458,1590,116,109,20,1,3,40,45,2,0,40,2,13,0,5,4,0,-0.6258,0,-4.1502,-0.8825
15625,3932,2003,3,0,200,1,1,0,134,31,20,142,445,46,35,3,1,1,15,13,4,0,5,0,1,3,0,0,0,-0.1652,0,0.201,-0.3774
15715,3940,2003,15,0,200,1,1,0,4,0,1,6,25,9,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,-0.107,0,0.0,-0.0007
16070,3954,2003,16,0,200,1,1,0,555,156,85,677,2824,156,156,39,1,12,80,70,0,2,104,5,15,0,3,15,0,2.1494,0,5.6809,3.926
16097,3959,2003,2,0,200,1,1,0,86,20,11,97,336,58,15,5,0,0,10,6,2,0,11,0,1,0,0,0,0,-0.0353,0,0.964,0.1683
16400,3977,2003,2,0,200,1,1,0,4,1,0,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135,0,0.0178,-0.0661
16420,3980,2003,8,0,200,1,1,0,189,41,25,234,949,98,52,8,0,2,14,26,1,1,34,0,4,6,5,0,0,-1.1135,0,-0.4891,0.1885
16482,3987,2003,15,0,200,1,1,0,40,9,15,43,175,38,0,0,0,2,5,5,0,0,2,0,1,0,1,0,0,-0.5829,0,-0.643,-0.1434
16781,4000,2003,12,0,200,1,1,0,135,24,24,148,523,70,29,4,0,1,10,5,2,0,12,1,4,0,0,0,1,-2.6811,0,1.0545,-1.2015
16838,4009,2003,9,0,200,1,1,0,537,132,78,585,2084,141,139,26,2,12,60,50,2,2,33,0,15,11,1,3,0,-1.178,0,0.5192,3.5535
17038,4013,2003,11,0,200,1,1,0,80,19,16,85,304,30,26,2,1,1,6,6,1,0,3,0,0,2,0,0,0,-0.1964,0,-0.4959,-0.1683
17422,4052,2003,8,0,200,1,1,0,46,11,5,51,211,40,3,2,1,0,7,1,2,1,5,0,0,0,0,0,0,-0.51,0,-0.468,-0.0026
17508,4066,2003,14,0,200,1,1,0,568,155,125,661,2574,157,149,29,2,24,72,75,0,0,86,3,7,0,5,2,0,1.4642,0,-3.5142,5.4922
17559,4067,2003,1,0,200,1,1,0,35,8,7,37,128,15,7,1,0,2,3,6,0,0,1,0,3,0,1,0,0,-0.5757,0,0.0,-0.0076
17885,4071,2003,11,0,200,1,1,0,449,115,67,483,1608,122,121,26,2,16,46,58,0,0,17,0,14,8,6,3,0,-1.6359,0,-3.2405,2.0992
18102,4074,2003,7,0,200,1,1,0,14,2,1,17,49,7,4,1,0,0,2,0,0,0,2,0,1,1,0,0,0,-0.1969,0,0.5143,0.026
18204,4078,2003,10,0,200,1,1,0,176,43,40,186,618,56,39,10,0,6,17,20,1,0,8,4,3,0,1,1,0,-0.8798,0,-1.9412,-0.7437
