ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
14659,Joram Tonkes,24.0,2,6,12,0.8,2.2,4.5
14599,Jun-young Kim,23.2,1,11,8,0.4,4.2,3.0
15604,Bob Rolston,23.1,0,7,12,0.0,2.7,4.6
13076,John Lupkoski,22.1,2,2,16,0.8,0.8,6.4
12186,Danny Torres,22.1,0,15,15,0.0,6.0,6.0
12504,Ratib bin Afeef,22.0,1,14,15,0.4,5.7,6.1
11754,Landon Gunn,22.0,0,10,12,0.0,4.1,4.9
11789,LOGAN KIPLING,21.2,1,12,15,0.4,5.0,6.2
14258,Nicholas Sanders,21.2,2,13,8,0.8,5.4,3.3
11051,Jae-woo Ahn,21.1,2,10,11,0.8,4.2,4.6
12746,Keith Blondell,21.0,0,3,11,0.0,1.3,4.7
12954,KANE DOWNES,21.0,2,11,13,0.9,4.7,5.6
11802,Bryan Clark,20.2,1,10,14,0.4,4.4,6.1
12690,Cássio Esqueira,20.2,4,10,18,1.7,4.4,7.8
13050,Josh Boyden,20.1,4,8,16,1.8,3.5,7.1
11970,Callum Farrow,20.1,0,14,8,0.0,6.2,3.5
12434,SLAVKO DJURDJUVIC,20.0,2,8,12,0.9,3.6,5.4
12967,JAE-HEE KWAK,19.2,2,7,20,0.9,3.2,9.2
12473,Jose Ruiz,19.2,3,10,12,1.4,4.6,5.5
14396,Dario Barron,19.0,0,9,15,0.0,4.3,7.1
13221,Jose Higuera,18.1,2,16,6,1.0,7.9,2.9
12680,Ji-hoon Kim,18.1,2,2,14,1.0,1.0,6.9
14060,Gualtiero Marinis,18.1,0,12,7,0.0,5.9,3.4
13853,Ron Castaneda,18.0,1,7,8,0.5,3.5,4.0
12062,Abdul-Bari Husayn,17.2,3,11,9,1.5,5.6,4.6
10612,NICK TESORIERO,17.1,2,8,8,1.0,4.2,4.2
12334,ORLANDO CABRERA,17.0,2,11,11,1.1,5.8,5.8
12971,JULIO SOLIS,17.0,3,11,15,1.6,5.8,7.9
12986,ROBERT LAUWERS,16.1,5,8,12,2.8,4.4,6.6
13989,Gerard Peacock,16.1,2,6,11,1.1,3.3,6.1
13056,Quintin Bugbie,16.0,2,11,14,1.1,6.2,7.9
12251,DIEDERICK ARENS,15.1,0,2,10,0.0,1.2,5.9
13219,Joe Bryant,15.1,1,12,11,0.6,7.0,6.5
12662,Joseph Coll,15.1,1,7,12,0.6,4.1,7.0
12636,Stephen Jones,15.0,2,5,6,1.2,3.0,3.6
15968,Richard Mann,15.0,1,6,2,0.6,3.6,1.2
10638,DEVIN BLUME,14.2,0,12,8,0.0,7.4,4.9
11560,EDWARD MCDONNELL,14.1,3,6,3,1.9,3.8,1.9
13782,MATT KAUSER,13.2,2,4,15,1.3,2.6,9.9
14253,Vinny Lopez,13.2,1,6,12,0.7,4.0,7.9
12299,YASUFUMI HARAGUCHI,13.1,1,10,6,0.7,6.8,4.0
11445,CLYDE BARCLAY,13.0,0,4,9,0.0,2.8,6.2
13781,ROB VAN ZANTEN,13.0,0,6,9,0.0,4.2,6.2
15617,Bob Black,12.2,3,4,7,2.1,2.8,5.0
12219,Ki-seop Jung,12.1,1,2,8,0.7,1.5,5.8
11945,Pamphile Sanguinacco,12.1,0,2,8,0.0,1.5,5.8
14428,Jim Shewman,12.0,3,3,3,2.2,2.2,2.2
13806,Jason Adcock,11.1,1,6,11,0.8,4.8,8.7
14491,Bill Brewster,11.1,0,7,4,0.0,5.6,3.2
14857,Edward Scholten,11.1,1,4,4,0.8,3.2,3.2
11760,Mike Aron,11.0,1,2,7,0.8,1.6,5.7
13345,Kai O'Doherty,11.0,3,7,7,2.5,5.7,5.7
10561,ALLEN FESS,10.2,0,5,8,0.0,4.2,6.8
11558,MIKE SMITH,10.1,1,3,9,0.9,2.6,7.8
11827,Sergej van Goor,10.1,2,4,5,1.7,3.5,4.4
12183,Basilio Brandini,10.0,2,6,6,1.8,5.4,5.4
12561,Lachlan Innes,10.0,1,5,3,0.9,4.5,2.7
10600,BOBBY SETTLEMIRE,10.0,0,5,5,0.0,4.5,4.5
14831,Aidan Wilkes,10.0,0,3,6,0.0,2.7,5.4
12403,BENNY WRIGHT,9.2,1,2,3,0.9,1.9,2.8
13945,Simone Pastaneira,9.1,0,2,5,0.0,1.9,4.8
13135,Mick Roberts,9.1,1,6,4,1.0,5.8,3.9
11902,Carsten Janssen,8.0,0,1,4,0.0,1.1,4.5
16210,Tommy McQuinn,8.0,0,1,5,0.0,1.1,5.6
14219,Armando Mendes,8.0,1,5,3,1.1,5.6,3.4
11777,HYUN-KYU SIM,8.0,2,2,4,2.2,2.2,4.5
13689,Mike Pardo,7.2,1,2,4,1.2,2.3,4.7
11918,Woo-jin Yoo,7.2,3,1,6,3.5,1.2,7.0
14709,Ata Yushua,7.0,2,3,3,2.6,3.9,3.9
12489,Don Balcome,6.2,0,4,4,0.0,5.4,5.4
12044,Akihito Nishimura,6.2,1,4,9,1.3,5.4,12.1
15158,Sergio Berrios,6.1,0,5,2,0.0,7.1,2.8
11031,ALEX ZARAGOZA,6.1,0,2,3,0.0,2.8,4.3
12885,Bradley Clow,6.0,0,4,1,0.0,6.0,1.5
13325,Rodolfo Mendez,6.0,0,3,4,0.0,4.5,6.0
13099,Don Wyatt,6.0,1,0,5,1.5,0.0,7.5
14039,Seung-hyeon Ahn,5.2,1,3,6,1.6,4.8,9.5
13533,Gilles Checchinato,5.1,0,4,3,0.0,6.8,5.1
12664,Amjad bin Raghib,5.0,1,4,0,1.8,7.2,0.0
13285,Adam Newton,4.2,1,0,3,1.9,0.0,5.8
11331,Marcel Verkleij,4.2,1,0,3,1.9,0.0,5.8
10636,JEFF WILLEMS,4.2,0,0,4,0.0,0.0,7.7
16707,Bailey Cleaver,4.0,2,2,0,4.5,4.5,0.0
13022,Usaburo Pintado,4.0,0,0,3,0.0,0.0,6.8
11080,Takayasu Tsukamoto,4.0,0,0,3,0.0,0.0,6.8
13069,Chris Stewart,3.2,1,3,2,2.5,7.4,4.9
14851,Ewan Attwood,2.2,1,1,3,3.4,3.4,10.1
10715,Lauren Teekens,2.1,0,0,1,0.0,0.0,3.9
14403,Urs Atema,2.0,1,0,2,4.5,0.0,9.0
12432,RICO ESQUIVEL,2.0,0,2,1,0.0,9.0,4.5
12459,David Estrada,2.0,0,1,1,0.0,4.5,4.5
13599,Kyu-min Kim,1.2,0,0,1,0.0,0.0,5.4
13369,Tom Pelley,1.2,0,2,0,0.0,10.8,0.0
12089,Jayden Fielding,1.1,0,0,0,0.0,0.0,0.0
13362,Nate Hardin,1.1,0,1,0,0.0,6.8,0.0
11641,MASAKATSU KIMURA,1.0,0,1,0,0.0,9.0,0.0
