POS,Name,ORG,B,T,G,GS,PPG,IP,ERA,HR/9,BB/9,K/9,FIP,WAR
RP,Chan-woo Lee,TOK,R,R,39,0,22,56.1,2.88,0.5,1.3,5.1,3.41,0.7
SP,Joon-ho Lee,CAL,L,L,16,0,12,15.0,4.20,1.8,0.6,3.6,5.41,-0.2
RP,ZHUO-CHENG LEONG,AMS,R,R,51,0,23,76.1,2.83,0.4,2.6,7.2,3.19,1.0
RP,STEVE LOCKEN,STU,L,L,25,0,22,40.0,2.48,0.0,1.8,2.7,3.26,0.6
RP,John Lupkoski,DUB,R,R,29,0,21,38.2,3.96,1.2,2.3,6.3,4.39,-0.0
RP,Sadaqat Mahdi,LDN,R,R,23,0,22,34.1,3.15,0.8,2.1,8.7,3.32,0.4
RP,Pete Malcolm,TOK,L,R,46,0,23,75.0,2.04,0.7,2.5,7.7,3.71,0.6
RP,CLAUDIO MARISCO,LON,L,L,57,0,17,68.0,2.12,0.3,2.6,6.9,3.11,1.2
RP,JOSE MARTINEZ,ADE,S,R,47,0,9,27.1,5.60,0.7,4.6,5.3,4.80,-0.2
RP,Aaron McAlpine,RME,R,R,27,0,19,28.2,6.28,1.3,2.2,5.0,4.81,-0.1
SP,Glen McClees,CAL,L,R,53,0,20,70.2,3.57,0.3,1.7,5.6,3.05,1.2
RP,NICK MCGUIGAN,LAP,R,R,16,0,25,24.2,5.11,0.4,3.6,8.0,3.34,0.3
RP,Colin McGuire,LON,R,R,31,0,26,53.0,4.42,1.0,1.4,5.6,3.94,0.2
RP,BOBBY MCLENDON,LDN,R,R,54,0,17,58.0,2.95,0.6,3.6,5.3,4.42,-0.1
RP,Danny Melendez,CLE,R,R,22,0,32,44.1,4.26,0.6,1.8,6.3,3.60,0.4
RP,Israel Mendoza,RME,S,L,48,0,19,64.0,2.39,0.1,1.4,7.5,2.35,2.2
RP,JOE MIGLIARO,NKO,L,L,32,0,20,48.2,2.96,1.1,1.8,5.5,4.24,0.0
CL,Marcus Miller,CUR,R,R,65,0,16,66.2,5.13,1.6,3.0,8.1,4.89,-0.4
RP,B.J. MONTALBETTI,HAV,R,R,54,0,26,87.0,5.48,1.6,3.6,5.5,5.60,-1.3
RP,Juan Morones,RME,L,L,43,0,16,46.2,3.28,1.2,1.9,6.2,4.32,0.1
CL,Christian Morrow,DUB,R,R,64,0,16,72.0,2.25,0.6,2.0,5.8,3.66,1.0
SP,DUSTIN MULLICAN,ADE,L,L,61,0,14,60.1,3.58,0.9,1.9,4.6,4.34,0.1
CL,DONG-HAK MYUNG,AMS,S,R,37,0,20,45.1,5.76,0.8,4.2,4.6,4.80,0.0
RP,ALEX NARVAEZ,HAV,R,R,42,0,26,73.0,4.07,1.0,3.2,6.4,4.56,-0.2
CL,Hidehiko Nomura,HON,R,R,63,0,14,68.2,1.31,0.5,2.6,4.8,3.96,0.6
SP,COREY O'CONNELL,LAP,R,R,38,0,27,66.1,3.39,0.8,3.3,6.2,4.16,0.1
SP,Dae-hyung Oh,ADE,R,R,13,0,29,26.2,2.36,1.0,1.7,4.7,4.35,0.0
RP,ALEX PADILLA,NKO,R,R,57,0,16,64.0,3.23,0.4,2.4,5.2,3.44,0.9
SP,TAE-KON PARK,CAL,R,R,14,0,17,16.2,3.78,1.1,0.0,7.0,3.41,0.2
CL,Ruben Pastran,DEN,R,R,67,0,19,84.0,2.89,0.4,1.8,4.3,3.64,1.9
RP,KEVIN PETRI,AMS,R,R,11,0,34,21.0,7.29,0.9,2.6,8.6,3.60,0.3
RP,ANGELO PICHARDO,TOR,R,R,32,0,20,38.1,3.99,1.2,3.5,6.6,5.02,-0.5
RP,Usaburo Pintado,CUR,R,R,44,0,31,81.0,7.00,1.4,3.8,4.0,5.94,-1.2
RP,COREY PITMAN,CAL,R,R,69,0,15,76.0,2.84,0.7,2.2,6.6,3.75,1.0
RP,ETHAN POPHAM,RME,R,R,45,0,23,71.1,4.54,0.9,3.3,5.2,4.64,-0.1
RP,DUSHAN RACIC,STU,R,R,56,0,19,70.1,3.58,0.5,2.2,5.2,3.41,1.2
CL,JOHN RANSON,LON,L,L,72,0,22,109.0,1.98,0.3,2.3,6.4,3.16,2.3
RP,Steve Reagle,NKO,R,R,19,0,24,29.1,1.53,0.3,2.5,6.4,3.10,0.4
RP,Jordan Rendon,LDN,L,R,37,0,13,28.1,4.13,0.3,2.9,5.7,3.65,0.2
RP,ROGER RILEY,ADE,R,R,40,0,28,78.1,4.14,0.9,1.6,5.3,4.07,0.4
RP,Mike Rush,STU,R,R,37,0,22,55.1,4.23,0.8,2.3,5.9,3.66,0.5
RP,BOBBY SALAZAR,LDN,R,R,43,0,30,91.0,3.16,0.5,1.8,7.7,2.97,1.6
RP,JORDAN SANDOVAL,HAV,R,R,23,0,37,50.1,2.86,0.2,2.5,4.6,3.44,0.5
SP,BRANDON SASLOVE,AMS,S,L,7,0,25,10.0,0.00,0.0,4.5,9.0,2.88,0.2
RP,PAUL SCHWARTZ,TOR,L,L,80,0,18,96.0,3.19,0.6,1.8,6.0,3.51,1.2
RP,JOHN SILVA,VAN,S,L,26,0,26,46.0,2.35,1.0,2.2,7.8,3.77,0.3
RP,Zach Sotelo,ADE,R,R,40,0,27,71.1,2.65,0.6,2.1,4.9,3.91,0.5
RP,Dave Spuller,LAP,S,R,67,0,19,85.2,3.89,0.3,2.6,6.9,3.13,1.5
RP,BRENNAN STEELE,AMS,R,R,71,0,17,74.2,5.30,0.7,3.9,6.6,4.27,-0.1
SP,COREY STEGALL,ADE,S,R,13,0,33,26.1,2.39,0.3,2.7,8.2,2.96,0.5
CL,CHRIS STEWART,GAL,S,R,54,0,15,62.2,1.72,0.1,1.4,4.7,2.94,1.5
RP,Velimir Stolic,AMS,L,L,60,0,17,69.0,4.70,0.7,2.5,5.9,3.88,0.3
RP,COLIN SUMAN,ADE,L,L,29,0,10,17.0,4.76,1.1,5.3,9.0,4.85,-0.1
RP,MASAJI TAKENAKA,VAN,R,R,72,0,18,89.1,3.43,0.8,1.7,7.4,3.44,1.4
RP,HIDESHI TANAKA,CLE,L,L,52,0,23,77.1,3.61,0.8,2.8,5.6,4.17,-0.0
RP,Alan Tizzard,CUR,L,L,66,0,18,75.2,5.23,0.4,3.1,5.6,3.51,1.2
RP,RADOVAN UTJESENOVIC,VAN,R,R,28,0,31,50.0,3.78,1.1,4.1,7.2,4.72,-0.3
RP,KELLY VAN DEN HOED,HAV,R,R,76,0,21,96.2,4.93,0.7,3.8,6.3,4.16,0.3
RP,RAFAEL VARA,AMS,L,L,51,0,17,57.1,4.24,1.4,1.6,6.3,4.60,-0.4
RP,Reginald Verschuur,SMT,L,L,38,0,24,56.1,2.88,0.6,3.0,7.7,3.64,0.6
RP,Joey Walsh,VAN,L,L,54,0,18,65.1,3.17,0.6,2.3,6.6,3.53,0.8
RP,TERUO WATANABE,SMT,L,R,46,0,23,69.2,3.88,1.2,2.8,6.6,4.61,-0.1
RP,HARM WIEBENGA,HON,R,R,24,0,31,44.2,3.63,0.6,2.6,6.4,3.65,0.4
RP,Ryan Yohemas,RME,R,R,15,0,20,19.0,4.74,0.0,2.4,7.1,2.59,0.5
RP,Declan Young,NKO,L,L,39,0,17,41.2,3.67,0.2,2.6,5.2,3.11,0.7
RP,ALEX ZARAGOZA,AMS,R,R,50,0,31,92.0,4.11,0.7,3.9,6.4,4.32,-0.2
RP,Jian-zhang Zhang,CLE,L,L,40,0,16,42.1,3.40,0.9,3.2,5.5,4.44,-0.2
