IP,HR,BB,K,HR/9,BB/9,K/9,FIP,WAR,SIERA
71.0,2,25,44,0.3,3.2,5.6,3.52,0.8,4.79
71.0,10,11,36,1.3,1.4,4.6,4.61,0.5,4.60
70.2,8,26,46,1.0,3.3,5.9,4.79,0.3,4.77
70.1,5,22,44,0.6,2.8,5.6,3.86,0.4,4.70
69.1,11,26,45,1.4,3.4,5.8,5.37,-0.7,4.83
69.1,8,25,55,1.0,3.2,7.1,4.56,-0.3,4.34
69.1,8,16,54,1.0,2.1,7.0,4.20,-0.0,3.96
68.2,8,15,50,1.0,2.0,6.6,4.10,0.3,4.13
68.1,5,22,58,0.7,2.9,7.6,3.65,0.9,3.94
68.1,7,21,49,0.9,2.8,6.5,4.24,0.2,4.37
68.0,9,27,45,1.2,3.6,6.0,5.15,-0.7,4.88
68.0,2,27,39,0.3,3.6,5.2,3.58,0.9,5.07
67.2,10,13,67,1.3,1.7,8.9,3.86,1.0,3.05
67.1,5,20,43,0.7,2.7,5.7,3.95,0.3,4.47
66.2,9,15,50,1.2,2.0,6.7,4.26,0.3,3.93
66.0,11,16,47,1.5,2.2,6.4,4.95,-0.3,4.11
64.2,5,20,48,0.7,2.8,6.7,3.77,0.7,4.25
64.0,9,14,39,1.3,2.0,5.5,4.68,-0.1,4.46
64.0,12,24,39,1.7,3.4,5.5,5.76,-0.2,4.93
64.0,2,25,29,0.3,3.5,4.1,4.04,0.4,5.41
63.2,8,13,37,1.1,1.8,5.2,4.61,-0.3,4.54
63.0,4,23,32,0.6,3.3,4.6,4.34,0.1,5.24
62.2,5,11,47,0.7,1.6,6.8,3.64,0.5,3.66
62.1,6,19,43,0.9,2.7,6.2,4.16,0.3,4.41
62.0,9,20,44,1.3,2.9,6.4,4.82,-0.4,4.36
61.2,9,18,37,1.3,2.6,5.4,4.99,0.5,4.77
61.2,8,17,24,1.2,2.5,3.5,4.96,-0.4,5.31
61.2,10,15,35,1.5,2.2,5.1,5.17,-0.7,4.73
61.0,0,22,36,0.0,3.2,5.3,3.48,0.6,4.90
60.1,5,23,56,0.7,3.4,8.4,3.84,0.8,3.75
60.1,6,12,51,0.9,1.8,7.6,3.63,0.6,3.54
59.2,6,21,39,0.9,3.2,5.9,4.42,-0.0,4.75
